Extension,Version,Folder,SizeMB,SizeGB
enavarre.jotflow,2.8.5-universal,enavarre.jotflow-2.8.5-universal,15.31,0.015
prateekmahendrakar.resxpress,7.8.0-universal,prateekmahendrakar.resxpress-7.8.0-universal,15.27,0.015
chrisatwindsurf.mono-debug,0.16.3,chrisatwindsurf.mono-debug-0.16.3,15.25,0.015
ric-v.postgres-explorer,2.2.0-universal,ric-v.postgres-explorer-2.2.0-universal,15.19,0.015
ritwickdey.liveserver,5.7.10-universal,ritwickdey.liveserver-5.7.10-universal,15.09,0.015
polixir.polixir-revive,1.1.1-universal,polixir.polixir-revive-1.1.1-universal,15.08,0.015
purecontext.human-markdown,0.5.5-universal,purecontext.human-markdown-0.5.5-universal,15.01,0.015
vxplain.vxplain,1.1.12-universal,vxplain.vxplain-1.1.12-universal,14.96,0.015
rodhayl.multi-purpose-agent-trae,1.0.0-universal,rodhayl.multi-purpose-agent-trae-1.0.0-universal,14.93,0.015
trunghieu1414.antigravity-with-telegram,1.0.7-universal,trunghieu1414.antigravity-with-telegram-1.0.7-universal,14.91,0.015
dart-code.dart-code,3.138.0-universal,dart-code.dart-code-3.138.0-universal,14.88,0.015
runtimeverification.simbolik,15.0.1-universal,runtimeverification.simbolik-15.0.1-universal,14.88,0.015
jaynightmare.jupyter-export,0.0.4-universal,jaynightmare.jupyter-export-0.0.4-universal,14.87,0.015
nogic.nogic,0.2.5-universal,nogic.nogic-0.2.5-universal,14.75,0.014
codedart.codex-dart-pro,3.123.20251129,codedart.codex-dart-pro-3.123.20251129,14.72,0.014
openpia.openpia-agent,1.1.1-universal,openpia.openpia-agent-1.1.1-universal,14.71,0.014
remote-ai-coder.remote-ai-coder-extension,1.2.1-universal,remote-ai-coder.remote-ai-coder-extension-1.2.1-universal,14.67,0.014
uginy.telecode-ai,0.1.20-universal,uginy.telecode-ai-0.1.20-universal,14.52,0.014
ifkash.kernel-orbit,0.2.1-universal,ifkash.kernel-orbit-0.2.1-universal,14.47,0.014
kodezi.kodezi,2.2.0-universal,kodezi.kodezi-2.2.0-universal,14.33,0.014
sema4ai.sema4ai-data-access,1.5.0-universal,sema4ai.sema4ai-data-access-1.5.0-universal,14.27,0.014
sameeraijaz.jeera-to-excel,1.0.0-universal,sameeraijaz.jeera-to-excel-1.0.0-universal,14.23,0.014
murbani.vscode-abap-remote-fs,2.6.5-universal,murbani.vscode-abap-remote-fs-2.6.5-universal,14.18,0.014
kymostudio.kymostudio-vscode,0.4.10-universal,kymostudio.kymostudio-vscode-0.4.10-universal,14.03,0.014
esbenp.prettier-vscode,12.4.0-universal,esbenp.prettier-vscode-12.4.0-universal,14.01,0.014
surfer-project.surfer,0.7.1001445-universal,surfer-project.surfer-0.7.1001445-universal,14.0,0.014
guptasachinn.heaplens,1.0.21-win32-x64,guptasachinn.heaplens-1.0.21-win32-x64,13.98,0.014
datamart.dm-vscode-fleet,1.18.0-universal,datamart.dm-vscode-fleet-1.18.0-universal,13.8,0.013
liveflow.liveflow,0.1.0-universal,liveflow.liveflow-0.1.0-universal,13.74,0.013
dataflint.dataflint-copilot,1.0.436-universal,dataflint.dataflint-copilot-1.0.436-universal,13.69,0.013
devdoq.devdoq-mcp-client,0.1.6-universal,devdoq.devdoq-mcp-client-0.1.6-universal,13.67,0.013
versavoiceai.versavoice-ai,1.5.2-universal,versavoiceai.versavoice-ai-1.5.2-universal,13.65,0.013
vincentarel-bundock.scrutin-runner,0.0.21-win32-x64,vincentarel-bundock.scrutin-runner-0.0.21-win32-x64,13.65,0.013
vinuthomas.csv-clearview,1.3.1-universal,vinuthomas.csv-clearview-1.3.1-universal,13.64,0.013
garmin.monkey-c,1.1.3-universal,garmin.monkey-c-1.1.3-universal,13.57,0.013
metalbear.mirrord,3.70.0-universal,metalbear.mirrord-3.70.0-universal,13.56,0.013
greenlight.greenlight-vs,0.30.36-universal,greenlight.greenlight-vs-0.30.36-universal,13.48,0.013
intraview.intraview,1.0.1-universal,intraview.intraview-1.0.1-universal,13.48,0.013
eclipse-cdt.cdt-gdb-vscode,2.8.0-universal,eclipse-cdt.cdt-gdb-vscode-2.8.0-universal,13.32,0.013
posit.assistant,0.7.0-universal,posit.assistant-0.7.0-universal,13.29,0.013
wuunuai.wuunu-ai-extension,0.1.15-universal,wuunuai.wuunu-ai-extension-0.1.15-universal,13.28,0.013
lawrencericher.visual-markdown-editor,2.4.1-universal,lawrencericher.visual-markdown-editor-2.4.1-universal,13.24,0.013
saropa.drift-viewer,4.2.0-universal,saropa.drift-viewer-4.2.0-universal,13.2,0.013
cucumberopen.cucumber-official,1.11.0-universal,cucumberopen.cucumber-official-1.11.0-universal,13.09,0.013
hubspire.hubai,0.8.0-universal,hubspire.hubai-0.8.0-universal,13.09,0.013
hummingbird-md.hummingbird-md,0.3.0-universal,hummingbird-md.hummingbird-md-0.3.0-universal,13.0,0.013
xray-lang.xray-lang,1.2.8-win32-x64,xray-lang.xray-lang-1.2.8-win32-x64,12.97,0.013
gamedevtoi.gdt-unity-mcp-server,0.1.13-universal,gamedevtoi.gdt-unity-mcp-server-0.1.13-universal,12.95,0.013
owenrumney.boltdb-explorer,1.0.6-universal,owenrumney.boltdb-explorer-1.0.6-universal,12.88,0.013
meerkatio.meerkatio,1.11.0-universal,meerkatio.meerkatio-1.11.0-universal,12.85,0.013
lrstanley.excalidraw-editor,3.7.4-universal,lrstanley.excalidraw-editor-3.7.4-universal,12.84,0.013
zazuko.sparql-notebook,1.0.14-universal,zazuko.sparql-notebook-1.0.14-universal,12.82,0.013
xupracorp.drylake,0.7.5-universal,xupracorp.drylake-0.7.5-universal,12.78,0.012
gvgramazio.jasperreports,2.5.0-universal,gvgramazio.jasperreports-2.5.0-universal,12.73,0.012
turintech.artemisai,0.3.8-universal,turintech.artemisai-0.3.8-universal,12.7,0.012
chrishadi.inklink,0.2.4-universal,chrishadi.inklink-0.2.4-universal,12.68,0.012
dmitriikholkin.rapidb,0.1.14-universal,dmitriikholkin.rapidb-0.1.14-universal,12.64,0.012
mylonics.bmp-debug,0.1.0-universal,mylonics.bmp-debug-0.1.0-universal,12.58,0.012
fabioz.vscode-pydev-python-debugger,0.3.0-universal,fabioz.vscode-pydev-python-debugger-0.3.0-universal,12.54,0.012
heytalepazguato.event-horizon-vscode,3.0.4-universal,heytalepazguato.event-horizon-vscode-3.0.4-universal,12.52,0.012
soubhikdevtools.dot-liquid-template-debugger,2.2.7-universal,soubhikdevtools.dot-liquid-template-debugger-2.2.7-universal,12.51,0.012
microchip.mplab-ui,1.9.1-universal,microchip.mplab-ui-1.9.1-universal,12.48,0.012
ranch-hand-robotics.rde-ros-2,1.0.9-universal,ranch-hand-robotics.rde-ros-2-1.0.9-universal,12.47,0.012
toppymicroservices.vscode-pdfviewer-secure,2.0.5-universal,toppymicroservices.vscode-pdfviewer-secure-2.0.5-universal,12.36,0.012
qwtel.sqlite-viewer,26.2.5-win32-x64,qwtel.sqlite-viewer-26.2.5-win32-x64,12.35,0.012
hyperide.hypercanvas-preview,0.1.70-universal,hyperide.hypercanvas-preview-0.1.70-universal,12.33,0.012
heavenai.heaven-ai,1.0.4-universal,heavenai.heaven-ai-1.0.4-universal,12.32,0.012
codemate.codemate-ai,2.9.2-universal,codemate.codemate-ai-2.9.2-universal,12.27,0.012
gitanyupdate.git-any-update,0.2.3-universal,gitanyupdate.git-any-update-0.2.3-universal,12.22,0.012
modexai.modex-vscode,0.1.7-universal,modexai.modex-vscode-0.1.7-universal,12.22,0.012
zhijiewong.viber,0.1.3-universal,zhijiewong.viber-0.1.3-universal,12.22,0.012
redhat.vscode-debug-adapter-apache-camel,1.10.0-universal,redhat.vscode-debug-adapter-apache-camel-1.10.0-universal,12.21,0.012
cyfrin.aderyn,0.0.38-universal,cyfrin.aderyn-0.0.38-universal,12.2,0.012
runql.runql-databricks,1.1.0-universal,runql.runql-databricks-1.1.0-universal,12.2,0.012
timoa.workflow-visual-editor,1.2.47-universal,timoa.workflow-visual-editor-1.2.47-universal,12.17,0.012
pawelhuryn.grok-vscode-phuryn,1.5.14-universal,pawelhuryn.grok-vscode-phuryn-1.5.14-universal,12.13,0.012
zowe.vscode-extension-for-zowe,3.5.1-universal,zowe.vscode-extension-for-zowe-3.5.1-universal,12.03,0.012
ranch-hand-robotics.rde-ros-1,1.0.2-universal,ranch-hand-robotics.rde-ros-1-1.0.2-universal,11.96,0.012
martinortiz.codex-stats,1.0.3-universal,martinortiz.codex-stats-1.0.3-universal,11.93,0.012
timefly.timeflydev,3.0.7-universal,timefly.timeflydev-3.0.7-universal,11.84,0.012
uqbar.wollok-lsp-ide,0.5.3-universal,uqbar.wollok-lsp-ide-0.5.3-universal,11.84,0.012
cheshirecatai.cheshire-cat-ai,0.0.7-universal,cheshirecatai.cheshire-cat-ai-0.0.7-universal,11.83,0.012
embedd-team.embedd-cortex-debug,1.14.8,embedd-team.embedd-cortex-debug-1.14.8,11.83,0.012
rytora.rytora-code-indexing,1.0.7-universal,rytora.rytora-code-indexing-1.0.7-universal,11.72,0.011
dawanse.profunc,0.5.0-universal,dawanse.profunc-0.5.0-universal,11.69,0.011
suhaibbinyounis.github-copilot-api-vscode,2.14.1-universal,suhaibbinyounis.github-copilot-api-vscode-2.14.1-universal,11.69,0.011
codestoryai.sota-swe,0.0.10-universal,codestoryai.sota-swe-0.0.10-universal,11.59,0.011
marus25.cortex-debug,1.13.0-pre6-universal,marus25.cortex-debug-1.13.0-pre6-universal,11.52,0.011
mkmlsvt.go-coverage-tree,1.0.3-universal,mkmlsvt.go-coverage-tree-1.0.3-universal,11.51,0.011
ryancreary.chattomarket,0.6.5-universal,ryancreary.chattomarket-0.6.5-universal,11.5,0.011
ishwardattmishra.realm-vscode,0.3.2-win32-x64,ishwardattmishra.realm-vscode-0.3.2-win32-x64,11.45,0.011
buvan.sql-crack,0.9.1-universal,buvan.sql-crack-0.9.1-universal,11.39,0.011
imandra.imandra-code-logician,0.2.4,imandra.imandra-code-logician-0.2.4,11.32,0.011
winse.parquet-explr,0.5.1-universal,winse.parquet-explr-0.5.1-universal,11.26,0.011
mununki.vscode-bibimbob,0.8.4-universal,mununki.vscode-bibimbob-0.8.4-universal,11.23,0.011
waclock.node-modules-inspector,1.3.0-universal,waclock.node-modules-inspector-1.3.0-universal,11.17,0.011
twulfz.dddbml,0.2.6-universal,twulfz.dddbml-0.2.6-universal,11.16,0.011
tebjan.sdsl,0.7.5-universal,tebjan.sdsl-0.7.5-universal,11.14,0.011
remcohaszing.markdown-decorations,0.1.1,remcohaszing.markdown-decorations-0.1.1,11.13,0.011
markusvankempen.wxo-builder,1.7.5-universal,markusvankempen.wxo-builder-1.7.5-universal,11.11,0.011
karolinefinstad9821.gemini-coder,1.903.1-universal,karolinefinstad9821.gemini-coder-1.903.1-universal,11.06,0.011
inlang.vs-code-extension,2.3.3-universal,inlang.vs-code-extension-2.3.3-universal,11.02,0.011
kyntrack.local-py,2023.23.0-dev,kyntrack.local-py-2023.23.0-dev,10.99,0.011
rizkykurniawan.dbml-previewer,1.5.0-universal,rizkykurniawan.dbml-previewer-1.5.0-universal,10.94,0.011
miragon-gmbh.vs-code-bpmn-modeler,1.4.0-universal,miragon-gmbh.vs-code-bpmn-modeler-1.4.0-universal,10.77,0.011
unhook.unhook-vscode,0.4.0-universal,unhook.unhook-vscode-0.4.0-universal,10.73,0.01
ntluong95.positron-julia,0.2.1-universal,ntluong95.positron-julia-0.2.1-universal,10.65,0.01
friddle.tailwind-sail,0.1.8-universal,friddle.tailwind-sail-0.1.8-universal,10.56,0.01
mfbzme.standboy,0.3.1-universal,mfbzme.standboy-0.3.1-universal,10.52,0.01
github.vscode-codeql,1.17.7-universal,github.vscode-codeql-1.17.7-universal,10.5,0.01
sparkcore.anti-remote-pro,6.9.3-universal,sparkcore.anti-remote-pro-6.9.3-universal,10.5,0.01
tmonk.stata-workbench,1.1.1-win32-x64,tmonk.stata-workbench-1.1.1-win32-x64,10.5,0.01
watchapi.watchapi-client,0.4.11-universal,watchapi.watchapi-client-0.4.11-universal,10.43,0.01
zazuko.vscode-rdf-sketch,1.1.3-universal,zazuko.vscode-rdf-sketch-1.1.3-universal,10.37,0.01
sparkcore.xinghuo-windsurf,8.4.8-universal,sparkcore.xinghuo-windsurf-8.4.8-universal,10.31,0.01
wu529778790.i18n-automatically,1.1.48-universal,wu529778790.i18n-automatically-1.1.48-universal,10.31,0.01
kyntrack.cloudlab-python,0.0.4,kyntrack.cloudlab-python-0.0.4,10.29,0.01
lens.context-lens,1.0.0-win32-x64,lens.context-lens-1.0.0-win32-x64,10.28,0.01
ibm.vscode-ibmi-testing,1.3.4-universal,ibm.vscode-ibmi-testing-1.3.4-universal,10.26,0.01
edukera.archetype,0.84.0,edukera.archetype-0.84.0,10.25,0.01
filipemarquesjesus.lanes,1.3.3-universal,filipemarquesjesus.lanes-1.3.3-universal,10.25,0.01
stonewolfpc.swe-obey-me,5.3.32-universal,stonewolfpc.swe-obey-me-5.3.32-universal,10.24,0.01
vibelang.vibe-language,0.2.9-universal,vibelang.vibe-language-0.2.9-universal,10.18,0.01
openstax.cat,1.0.0-universal,openstax.cat-1.0.0-universal,10.15,0.01
dgtalbug.dextree,1.16.0-win32-x64,dgtalbug.dextree-1.16.0-win32-x64,10.14,0.01
mytooyodev.richdown,0.7.1-universal,mytooyodev.richdown-0.7.1-universal,10.13,0.01
rubberduck.rubberduck-vscode,1.18.0-universal,rubberduck.rubberduck-vscode-1.18.0-universal,10.1,0.01
shahiowlkumar.docxreader,1.4.2-universal,shahiowlkumar.docxreader-1.4.2-universal,10.05,0.01
github.vscode-github-actions,0.32.1-universal,github.vscode-github-actions-0.32.1-universal,10.02,0.01
okahuai.okahu-ai-observability,0.6.2-universal,okahuai.okahu-ai-observability-0.6.2-universal,9.92,0.01
shiroenguyen.anime-companion-vscode,0.5.4-universal,shiroenguyen.anime-companion-vscode-0.5.4-universal,9.91,0.01
uladluch.cursor-mobile-connector,1.0.176-universal,uladluch.cursor-mobile-connector-1.0.176-universal,9.87,0.01
uladluch.mobile-ide-bridge,1.0.4-universal,uladluch.mobile-ide-bridge-1.0.4-universal,9.87,0.01
yellow-hammer.1c-platform-tools,0.7.21-universal,yellow-hammer.1c-platform-tools-0.7.21-universal,9.86,0.01
ivan-kovarin.cursor-usage-pace,0.4.1-universal,ivan-kovarin.cursor-usage-pace-0.4.1-universal,9.85,0.01
leodevbro.blockman,1.7.8-universal,leodevbro.blockman-1.7.8-universal,9.85,0.01
els4nta.vscode-magic-pdf,1.2.0-universal,els4nta.vscode-magic-pdf-1.2.0-universal,9.84,0.01
sensmetry.syside-modeler,0.10.2-win32-x64,sensmetry.syside-modeler-0.10.2-win32-x64,9.84,0.01
jakubkozera.ms-sql-manager,0.20.4-universal,jakubkozera.ms-sql-manager-0.20.4-universal,9.83,0.01
shivamgupta1319.uace-dashboard,0.2.3-universal,shivamgupta1319.uace-dashboard-0.2.3-universal,9.82,0.01
multilith.multilith,0.1.1-universal,multilith.multilith-0.1.1-universal,9.8,0.01
promptdc.promptdc-vscode,5.0.0-universal,promptdc.promptdc-vscode-5.0.0-universal,9.8,0.01
farrese.midas,0.24.8-universal,farrese.midas-0.24.8-universal,9.73,0.009
sinandev.levelup,1.2.4-universal,sinandev.levelup-1.2.4-universal,9.72,0.009
fe-dudu.react-query-visualizer,0.0.8-universal,fe-dudu.react-query-visualizer-0.0.8-universal,9.66,0.009
wso2.hurl-client,0.9.3-universal,wso2.hurl-client-0.9.3-universal,9.59,0.009
takashi-uchida.vscode-office-viewer,0.3.2-universal,takashi-uchida.vscode-office-viewer-0.3.2-universal,9.58,0.009
corrdex.corrdex,1.0.21-universal,corrdex.corrdex-1.0.21-universal,9.56,0.009
jinqishen.markdown-review,5.1.9-universal,jinqishen.markdown-review-5.1.9-universal,9.56,0.009
revaturepro-non-prod.revature-angular-labs-non-prod,0.0.7-universal,revaturepro-non-prod.revature-angular-labs-non-prod-0.0.7-universal,9.55,0.009
revaturepro.revature-angular-labs,0.0.5-universal,revaturepro.revature-angular-labs-0.0.5-universal,9.54,0.009
jebbs.plantuml,2.18.1-universal,jebbs.plantuml-2.18.1-universal,9.52,0.009
kyntrack.revpro-karma-test-explorer,0.0.64-universal,kyntrack.revpro-karma-test-explorer-0.0.64-universal,9.52,0.009
statelyai.stately-vscode,2.1.0-universal,statelyai.stately-vscode-2.1.0-universal,9.51,0.009
shahabbahreinijangjoo.ai-commit-assistant,5.0.6-universal,shahabbahreinijangjoo.ai-commit-assistant-5.0.6-universal,9.48,0.009
yonghe.airalogy-markdown-studio,0.5.11-win32-x64,yonghe.airalogy-markdown-studio-0.5.11-win32-x64,9.48,0.009
wmccrthy.luau-ast-explorer,0.1.13-universal,wmccrthy.luau-ast-explorer-0.1.13-universal,9.46,0.009
hatchet-dev.hatchet,0.2.3-universal,hatchet-dev.hatchet-0.2.3-universal,9.44,0.009
scienfy.sciemd-vscode,1.1.0-universal,scienfy.sciemd-vscode-1.1.0-universal,9.37,0.009
ubonpatrusm.serverpulse,2.1.0-universal,ubonpatrusm.serverpulse-2.1.0-universal,9.35,0.009
narasimapandiyan.jetbrainsmono,1.0.3-universal,narasimapandiyan.jetbrainsmono-1.0.3-universal,9.31,0.009
markvely.uicanvas,1.3.1-universal,markvely.uicanvas-1.3.1-universal,9.29,0.009
pug.pug-ai,0.0.5-universal,pug.pug-ai-0.0.5-universal,9.23,0.009
kylinideteam.vscode-java-pack,0.1.10-universal,kylinideteam.vscode-java-pack-0.1.10-universal,9.19,0.009
telerik.nativescript,0.11.0-universal,telerik.nativescript-0.11.0-universal,9.18,0.009
devsessioncanvas.dev-session-canvas,0.24.2-universal,devsessioncanvas.dev-session-canvas-0.24.2-universal,9.14,0.009
robertpiosik.gemini-coder,1.977.0-universal,robertpiosik.gemini-coder-1.977.0-universal,9.14,0.009
monk.vscode-monk,1.26.0-universal,monk.vscode-monk-1.26.0-universal,9.11,0.009
litchi.matplotlib-pilot,0.1.0-universal,litchi.matplotlib-pilot-0.1.0-universal,9.1,0.009
piwa.markdown-ultimate,0.3.1-universal,piwa.markdown-ultimate-0.3.1-universal,9.09,0.009
isg-cnc.vscode-isg-cnc,1.2.0-universal,isg-cnc.vscode-isg-cnc-1.2.0-universal,9.08,0.009
jqlong.cora,0.2.6-universal,jqlong.cora-0.2.6-universal,9.08,0.009
parmentelat.vscode-jupytext,0.2.0-universal,parmentelat.vscode-jupytext-0.2.0-universal,9.08,0.009
eclipse-cdt.memory-inspector,1.2.0-universal,eclipse-cdt.memory-inspector-1.2.0-universal,9.07,0.009
jetbrains.hexana-wasm,0.6.0-universal,jetbrains.hexana-wasm-0.6.0-universal,9.06,0.009
langstitch.langtailor-canvas,0.3.0-universal,langstitch.langtailor-canvas-0.3.0-universal,9.05,0.009
jolli.jollimemory-vscode,0.99.7-universal,jolli.jollimemory-vscode-0.99.7-universal,9.04,0.009
hafiz408.nexus-ai,4.3.1-universal,hafiz408.nexus-ai-4.3.1-universal,9.01,0.009
readysteadyscience.l-hub,0.8.2-universal,readysteadyscience.l-hub-0.8.2-universal,9.01,0.009
shawnchee.vscode-gemini-commit-writer,1.1.2-universal,shawnchee.vscode-gemini-commit-writer-1.1.2-universal,9.01,0.009
stackslabs.clarity-stacks,3.21.1-universal,stackslabs.clarity-stacks-3.21.1-universal,9.01,0.009
eniacode.enia-code,0.7.6-universal,eniacode.enia-code-0.7.6-universal,8.97,0.009
mathematic.vscode-pdf,0.1.11-universal,mathematic.vscode-pdf-0.1.11-universal,8.97,0.009
nativescript.nativescript,0.12.5-universal,nativescript.nativescript-0.12.5-universal,8.97,0.009
posit.air-vscode,0.26.0,posit.air-vscode-0.26.0,8.95,0.009
stateful.marquee,3.3.2-universal,stateful.marquee-3.3.2-universal,8.95,0.009
taskr.vscode-taskr,0.1.9-universal,taskr.vscode-taskr-0.1.9-universal,8.95,0.009
rockuen.notewise-editor,0.1.45-universal,rockuen.notewise-editor-0.1.45-universal,8.94,0.009
lzhs1995.stata-workbench-shared-session,0.1.1-universal,lzhs1995.stata-workbench-shared-session-0.1.1-universal,8.91,0.009
ffrankreiter.answer-set-programming-language-support,1.0.8-universal,ffrankreiter.answer-set-programming-language-support-1.0.8-universal,8.89,0.009
ms-kubernetes-tools.vscode-kubernetes-tools,1.4.0-universal,ms-kubernetes-tools.vscode-kubernetes-tools-1.4.0-universal,8.88,0.009
varunkumar.google-input-tools,0.0.25-universal,varunkumar.google-input-tools-0.0.25-universal,8.82,0.009
frehu.fresh-file-explorer,1.13.0-universal,frehu.fresh-file-explorer-1.13.0-universal,8.7,0.008
repowise-dev.repowise,0.3.0-universal,repowise-dev.repowise-0.3.0-universal,8.6,0.008
oderwat.indent-rainbow,8.3.1-universal,oderwat.indent-rainbow-8.3.1-universal,8.57,0.008
greenplumwine.mybatis-helper-vscode,1.0.4-universal,greenplumwine.mybatis-helper-vscode-1.0.4-universal,8.55,0.008
nicepkg.aide-pro,1.19.1-universal,nicepkg.aide-pro-1.19.1-universal,8.55,0.008
onlyutkarsh.mermaid-diagram-lens,2.1.2-universal,onlyutkarsh.mermaid-diagram-lens-2.1.2-universal,8.54,0.008
grec0.memory-bank-vscode,0.0.57-universal,grec0.memory-bank-vscode-0.0.57-universal,8.52,0.008
microchip.mplab-extensions-core,2.2.1-universal,microchip.mplab-extensions-core-2.2.1-universal,8.5,0.008
kerno.kerno,0.11.3-universal,kerno.kerno-0.11.3-universal,8.49,0.008
codesmith.markdown-inline-editor-vscode,1.24.2-universal,codesmith.markdown-inline-editor-vscode-1.24.2-universal,8.44,0.008
deerflow.deer-prompt,1.0.6-universal,deerflow.deer-prompt-1.0.6-universal,8.44,0.008
scrudix.scrudix,5.0.34-universal,scrudix.scrudix-5.0.34-universal,8.43,0.008
codeartscheck.codearts-check,1.1.7-universal,codeartscheck.codearts-check-1.1.7-universal,8.42,0.008
posit.databot,0.0.44-universal,posit.databot-0.0.44-universal,8.39,0.008
monazim.codebrief,0.0.10-universal,monazim.codebrief-0.0.10-universal,8.37,0.008
oven.bun-vscode,0.0.32,oven.bun-vscode-0.0.32,8.36,0.008
trelent.trelent,1.3.1-universal,trelent.trelent-1.3.1-universal,8.34,0.008
kioksiot.antigravity-autopilot,1.0.11-universal,kioksiot.antigravity-autopilot-1.0.11-universal,8.31,0.008
cherrymarkdownpublisher.cherry-markdown,0.3.1081718-universal,cherrymarkdownpublisher.cherry-markdown-0.3.1081718-universal,8.21,0.008
eita.gatomia,0.38.0-universal,eita.gatomia-0.38.0-universal,8.21,0.008
salesforce.salesforcedx-vscode-apex-debugger,67.5.0-universal,salesforce.salesforcedx-vscode-apex-debugger-67.5.0-universal,8.19,0.008
todo2.todo2,0.0.9-universal,todo2.todo2-0.0.9-universal,8.17,0.008
halcyontechltd.vscode-ibmi-walkthroughs,0.5.0-universal,halcyontechltd.vscode-ibmi-walkthroughs-0.5.0-universal,8.13,0.008
hypergraph-ai.hypergraph-ai,0.1.9-universal,hypergraph-ai.hypergraph-ai-0.1.9-universal,8.12,0.008
kdeosingh.voice-transcription,1.0.5-universal,kdeosingh.voice-transcription-1.0.5-universal,8.12,0.008
marcelocruzrpa.uipath-artifact-designer,1.2.0-universal,marcelocruzrpa.uipath-artifact-designer-1.2.0-universal,8.08,0.008
jianger666.cursor-feedback,2.7.6-universal,jianger666.cursor-feedback-2.7.6-universal,8.03,0.008
ducphamngoc.codevisualizer,1.0.8-universal,ducphamngoc.codevisualizer-1.0.8-universal,8.01,0.008
fluent-source.fluent-source,1.0.2-universal,fluent-source.fluent-source-1.0.2-universal,7.99,0.008
bvpav.rcdbg,0.0.1-universal,bvpav.rcdbg-0.0.1-universal,7.98,0.008
cellaxon.ranvier-vscode,0.3.1-universal,cellaxon.ranvier-vscode-0.3.1-universal,7.94,0.008
smarts-bio.smarts-bio,0.1.22-universal,smarts-bio.smarts-bio-0.1.22-universal,7.92,0.008
posit.publisher,2.8.0,posit.publisher-2.8.0,7.84,0.008
saropa.saropa-log-capture,9.2.3-universal,saropa.saropa-log-capture-9.2.3-universal,7.84,0.008
lucasygu.vibechannel,0.6.31-universal,lucasygu.vibechannel-0.6.31-universal,7.83,0.008
rabisnaqvi.doclume,0.3.1-universal,rabisnaqvi.doclume-0.3.1-universal,7.81,0.008
khangnghiem.fast-draft,0.11.382-universal,khangnghiem.fast-draft-0.11.382-universal,7.79,0.008
sidhantsriv.visor,1.6.1-universal,sidhantsriv.visor-1.6.1-universal,7.78,0.008
feiskyer.chatgpt-copilot,4.11.0-universal,feiskyer.chatgpt-copilot-4.11.0-universal,7.77,0.008
imaken.fractal,0.207.61-universal,imaken.fractal-0.207.61-universal,7.75,0.008
yechielby.claude-code-rtl,0.4.2-universal,yechielby.claude-code-rtl-0.4.2-universal,7.74,0.008
danielsurendran.kiro-pulse,2.0.0-universal,danielsurendran.kiro-pulse-2.0.0-universal,7.72,0.008
manasdutta.layr,2.1.4-universal,manasdutta.layr-2.1.4-universal,7.71,0.008
donebd.vscode-keypromoter,1.2.0-universal,donebd.vscode-keypromoter-1.2.0-universal,7.68,0.007
intellsmi.comment-translate,3.0.0-universal,intellsmi.comment-translate-3.0.0-universal,7.68,0.007
haoyangzeng.opencui,1.8.0-universal,haoyangzeng.opencui-1.8.0-universal,7.65,0.007
sivanliu.super-markdown,1.0.0-universal,sivanliu.super-markdown-1.0.0-universal,7.64,0.007
weppy.weppy-roblox-explorer,1.2.2-universal,weppy.weppy-roblox-explorer-1.2.2-universal,7.64,0.007
xiaolvpuzi.smart-input-pro-vscode,1.2.2,xiaolvpuzi.smart-input-pro-vscode-1.2.2,7.64,0.007
jacastillo-rms.promptlyjc,0.2.0-universal,jacastillo-rms.promptlyjc-0.2.0-universal,7.6,0.007
streetsidesoftware.code-spell-checker,4.6.0-universal,streetsidesoftware.code-spell-checker-4.6.0-universal,7.58,0.007
sqrtt.prophet,1.4.81-universal,sqrtt.prophet-1.4.81-universal,7.56,0.007
devboost.devboostextension,0.9.3-universal,devboost.devboostextension-0.9.3-universal,7.49,0.007
kleinicke.tiff-visualizer,1.8.1-universal,kleinicke.tiff-visualizer-1.8.1-universal,7.48,0.007
kingeke.justcode-vscode,0.4.4-universal,kingeke.justcode-vscode-0.4.4-universal,7.46,0.007
imaken.any-markdown,0.195.393-universal,imaken.any-markdown-0.195.393-universal,7.45,0.007
salesforce.salesforcedx-vscode-apex-replay-debugger,67.5.0-universal,salesforce.salesforcedx-vscode-apex-replay-debugger-67.5.0-universal,7.43,0.007
pgourlain.erlang,1.1.3-universal,pgourlain.erlang-1.1.3-universal,7.41,0.007
hojabri.slog-viewer,1.7.0-universal,hojabri.slog-viewer-1.7.0-universal,7.39,0.007
jolocity.cursor-agent-scheduler,1.0.1-universal,jolocity.cursor-agent-scheduler-1.0.1-universal,7.39,0.007
hbenl.vscode-mocha-test-adapter,2.14.4-universal,hbenl.vscode-mocha-test-adapter-2.14.4-universal,7.36,0.007
code-inspect.vscode-flowr,0.7.1-universal,code-inspect.vscode-flowr-0.7.1-universal,7.34,0.007
devassure.devassure-agent-vscode-extension,1.1.21-win32-x64,devassure.devassure-agent-vscode-extension-1.1.21-win32-x64,7.34,0.007
microchip.toolchains,1.9.0-universal,microchip.toolchains-1.9.0-universal,7.29,0.007
cn-chenjia.rssc-toolbox,1.6.0-universal,cn-chenjia.rssc-toolbox-1.6.0-universal,7.25,0.007
msjsdiag.vscode-react-native,1.13.0,msjsdiag.vscode-react-native-1.13.0,7.25,0.007
tajmhelly.green,0.1.10-universal,tajmhelly.green-0.1.10-universal,7.25,0.007
tangetsu.furry-ts-errors,0.3.1-universal,tangetsu.furry-ts-errors-0.3.1-universal,7.24,0.007
