"Folder","SizeGB"
"C:\Users\PCCPPPCCC\AppData\Local\Packages\Claude_pzs8sxrjxfjjc\LocalCache\Roaming\Claude\Partitions\cowork-file-preview\Cache\Cache_Data","0.01"
"C:\Users\PCCPPPCCC\AppData\Local\Packages\Claude_pzs8sxrjxfjjc\LocalCache\Roaming\Claude\Cache\Cache_Data","0.01"
"C:\Users\PCCPPPCCC\AppData\Local\Packages\Claude_pzs8sxrjxfjjc\LocalCache\Roaming\Claude\Partitions\cowork-file-preview\Cache","0.01"
"C:\Users\PCCPPPCCC\AppData\Local\Packages\Claude_pzs8sxrjxfjjc\LocalCache\Roaming\Claude\Code Cache","0.01"
"C:\Users\PCCPPPCCC\AppData\Local\pip\cache","0.01"
"C:\Users\PCCPPPCCC\AppData\Local\Perplexity\Comet\User Data\Default\GPUCache","0.01"
"C:\Users\PCCPPPCCC\AppData\Local\Perplexity\Comet\User Data\GrShaderCache","0.01"
"C:\Users\PCCPPPCCC\AppData\Local\Packages\ScratchFoundation.ScratchDesktop_wmbdy4q6dbx4t\LocalCache\Roaming\Scratch\Cache\Cache_Data","0.01"
"C:\Users\PCCPPPCCC\AppData\Local\Packages\5319275A.WhatsAppDesktop_cv1g1gvanyjgm\LocalCache\EBWebView\Default\Service Worker\ScriptCache","0.01"
"C:\Users\PCCPPPCCC\AppData\Local\Perplexity\Comet\User Data\Profile 1\Service Worker\ScriptCache","0.01"
"C:\Users\PCCPPPCCC\AppData\Local\Perplexity\Comet\User Data\Profile 1\GPUCache","0.01"
"C:\Users\PCCPPPCCC\AppData\Local\Perplexity\Comet\User Data\Profile 1\DawnWebGPUCache","0.01"
"C:\Users\PCCPPPCCC\AppData\Roaming\kimi-desktop\Cache\Cache_Data","0.01"
"C:\Users\PCCPPPCCC\.positron\extensions\valkotlarovhoffman.recomment-2.0.19-universal\.rEcomment\render-cache","0.01"
"C:\Users\PCCPPPCCC\AppData\Roaming\kingsoft\wps\addons\data\win-i386\cef\cache","0.01"
"C:\Users\PCCPPPCCC\AppData\Roaming\kimi-desktop\Cache","0.01"
"C:\Users\PCCPPPCCC\AppData\Roaming\Grammarly\DesktopIntegrations\WebViewUserDataFolder\EBWebView\Default\Cache","0.01"
"C:\Users\PCCPPPCCC\AppData\Roaming\Grammarly\DesktopIntegrations\WebViewUserDataFolder\EBWebView\Default\Cache\Cache_Data","0.01"
"C:\Users\PCCPPPCCC\AppData\Roaming\JetBrains\PyCharm2026.1\event-log-metadata","0.01"
"C:\Users\PCCPPPCCC\AppData\Roaming\kingsoft\wps\addons\data\win-i386\docers\wpsoffice\Cache","0.01"
"C:\Users\PCCPPPCCC\AppData\Roaming\kingsoft\wps\addons\data\win-i386\新版本介绍\wpsoffice\Cache\Cache_Data","0.01"
"C:\Users\PCCPPPCCC\AppData\Roaming\OpenVPN Connect\Cache","0.01"
"C:\Users\PCCPPPCCC\AppData\Roaming\OpenVPN Connect\Cache\Cache_Data","0.01"
"C:\Users\PCCPPPCCC\AppData\Roaming\kingsoft\wps\addons\data\win-i386\新版本介绍\wpsoffice\Cache","0.01"
"C:\Users\PCCPPPCCC\AppData\Roaming\kingsoft\wps\addons\data\win-i386\docers\wpsoffice\Cache\Cache_Data","0.01"
"C:\Users\PCCPPPCCC\AppData\Roaming\kingsoft\wps\addons\data\win-i386\promeapps\cookie\Cache","0.01"
"C:\Users\PCCPPPCCC\AppData\Roaming\kingsoft\wps\addons\data\win-i386\promeapps\cookie\Cache\Cache_Data","0.01"
"C:\Users\PCCPPPCCC\AppData\Local\XKBrowser\User Data\Default\Cache\Cache_Data","0.01"
"C:\Users\PCCPPPCCC\AppData\LocalLow\Microsoft\CryptnetUrlCache","0.01"
"C:\Users\PCCPPPCCC\AppData\Roaming\baidunetdisk\Cache","0.01"
"C:\Users\PCCPPPCCC\.positron\extensions\serokell-io.michelson-debugger-0.4.0-universal\yarn-cache","0.01"
"C:\Users\PCCPPPCCC\AppData\Local\r-miniconda\pkgs\cache","0.01"
"C:\Users\PCCPPPCCC\.positron\extensions\salesforce.salesforcedx-vscode-core-67.5.0-universal\dist\templates","0.01"
"C:\Users\PCCPPPCCC\AppData\Local\XKBrowser\User Data\Default\Cache","0.01"
"C:\Users\PCCPPPCCC\AppData\Roaming\baidunetdisk\Cache\Cache_Data","0.01"
"C:\Users\PCCPPPCCC\AppData\Roaming\douyin\Code Cache","0.01"
"C:\Users\PCCPPPCCC\AppData\Roaming\GitHub Desktop\Cache","0.01"
"C:\Users\PCCPPPCCC\AppData\Roaming\GitHub Desktop\Cache\Cache_Data","0.01"
"C:\Users\PCCPPPCCC\AppData\Roaming\Codex\web\Codex\Default\Cache\Cache_Data","0.01"
"C:\Users\PCCPPPCCC\AppData\Roaming\Codex\web\Codex\GrShaderCache","0.01"
"C:\Users\PCCPPPCCC\AppData\Roaming\Codex\web\Codex\Default\Cache","0.01"
"C:\Users\PCCPPPCCC\AppData\Roaming\Codex\web\Codex\Default\GPUCache","0.01"
"C:\Users\PCCPPPCCC\AppData\Roaming\RStudio\GPUCache","0.01"
"C:\Users\PCCPPPCCC\AppData\Local\JetBrains\PyCharm2026.1\python_stubs\cache","0.01"
"C:\Users\PCCPPPCCC\AppData\Local\kingsoft\kwallpaper\Cache","0.01"
"C:\Users\PCCPPPCCC\AppData\Local\kingsoft\WPS Office\12.1.0.18608\office6\mui\zh_CN\templates","0.01"
"C:\Users\PCCPPPCCC\AppData\Local\JetBrains\PyCharm2026.1\jcef_cache\Default\Cache\Cache_Data","0.01"
"C:\Users\PCCPPPCCC\AppData\Local\Google\Chrome\User Data\Profile 1\Cache\Cache_Data","0.01"
