"Extension","Folder","SizeMB","Level"
"genomorphpvtltd.devtracker","genomorphpvtltd.devtracker-1.0.4-universal","127.02","?"
"luma.jupyter","luma.jupyter-2022.3.108","125.06","?"
"postman.postman-for-vscode","postman.postman-for-vscode-1.19.1-universal","124.45","?"
"josedugu.easydb","josedugu.easydb-0.2.1-universal","123.95","?"
"tsonglew.vecx","tsonglew.vecx-0.0.1-universal","123.78","?"
"saikethan.markdown-studio","saikethan.markdown-studio-0.1.0-universal","123.14","?"
"zlorn.vstuc","zlorn.vstuc-1.2.1-universal","121.83","?"
"ibmblockchain.ibm-blockchain-platform","ibmblockchain.ibm-blockchain-platform-2.0.8-universal","120.58","?"
"deepecon.stata-mcp","deepecon.stata-mcp-0.5.3-universal","120.39","?"
"konveyor.konveyor-go","konveyor.konveyor-go-0.6.2-universal","118.24","?"
"pa-andreas.mirror-view","pa-andreas.mirror-view-26.6.15-universal","116.94","?"
"guangsheng.catgo","guangsheng.catgo-1.4.5-universal","115.83","?"
"etienne-lescot.n8n-as-code","etienne-lescot.n8n-as-code-2.36.0-universal","114.51","?"
"early-ai.earlyai","early-ai.earlyai-1.4.7","114.29","?"
"kade.kade","kade.kade-4.0.4-universal","114.24","?"
"caretive.caret","caretive.caret-0.4.8-universal","113.42","?"
"qwenlm.qwen-code-vscode-ide-companion","qwenlm.qwen-code-vscode-ide-companion-0.19.10-win32-x64","112.31","?"
"matterai.axon-code","matterai.axon-code-6.5.3-universal","111.34","?"
"tocodex.tocodex","tocodex.tocodex-3.3.5-universal","111.34","?"
"serokell-io.michelson-debugger","serokell-io.michelson-debugger-0.4.0-universal","111.3","?"
"veracode.veracode-vscode-plugin","veracode.veracode-vscode-plugin-1.16.1-win32-x64","110.28","?"
"marciopataca.onestream-consultant-toolkit","marciopataca.onestream-consultant-toolkit-0.6.1-win32-x64","110.26","?"
"sera-foundation.agent-vault","sera-foundation.agent-vault-0.0.4-universal","109.06","?"
"designliquido.designliquido-vscode","designliquido.designliquido-vscode-0.27.4-universal","108.96","?"
"sshimono.testlatte","sshimono.testlatte-2.1.3-universal","108.86","?"
"vibestudio-inc.vibestudio-vibestudio","vibestudio-inc.vibestudio-vibestudio-3.3.9-universal","108.68","?"
"likhith-adithya.ai-cli-pro","likhith-adithya.ai-cli-pro-0.1.0-universal","107.25","?"
"hediet.vscode-drawio","hediet.vscode-drawio-1.6.6","107.25","?"
"konveyor.konveyor-java","konveyor.konveyor-java-0.6.2-universal","107.24","?"
"hediet.vscode-drawio-insiders-build","hediet.vscode-drawio-insiders-build-1.6.606","107.24","?"
"irinagolovchenko56.vscode-drawio","irinagolovchenko56.vscode-drawio-1.6.7","107.24","?"
"kylinideteam.kylin-drawio","kylinideteam.kylin-drawio-0.0.11","107.19","?"
"coolcline.coolcline","coolcline.coolcline-4.6.7-win32-x64","106.84","?"
"openotter.ai-embedded-system-helper","openotter.ai-embedded-system-helper-0.2.0-universal","104.85","?"
"randomfractalsinc.vscode-data-preview","randomfractalsinc.vscode-data-preview-2.2.0-universal","104.69","?"
"redhat.mta-java","redhat.mta-java-8.1.3-universal","104.61","?"
"pointbreak.pointbreak","pointbreak.pointbreak-0.2.3-win32-x64","103.95","?"
"hopcode.hopcode-vscode-ide-companion","hopcode.hopcode-vscode-ide-companion-0.30.5-universal","103.03","?"
"ibm.bob-z-extension","ibm.bob-z-extension-3.0.0-universal","102.46","?"
"danielsanmedium.dscodegpt","danielsanmedium.dscodegpt-3.22.2-universal","101.97","?"
"tdad.tdad","tdad.tdad-0.0.27-universal","101.88","?"
"weiboplat.wecoder","weiboplat.wecoder-1.0.124-universal","101.72","?"
"redhat.mta-javascript","redhat.mta-javascript-8.1.3-universal","101.61","?"
"the-orql.orql-debugger","the-orql.orql-debugger-1.0.1-universal","101.22","?"
"devsense.intelli-php-vscode","devsense.intelli-php-vscode-0.12.17700-win32-x64","100.15","?"
"wso2.ballerina","wso2.ballerina-5.12.2-universal","100.02","?"
"yantra-copilot.yantra-copilot","yantra-copilot.yantra-copilot-0.4.56-universal","99.43","?"
"moyogi.cursor-provider-bridge","moyogi.cursor-provider-bridge-0.1.2-universal","97.87","?"
"entan-gl.cc65-vice","entan-gl.cc65-vice-8.2.0-universal","97.28","?"
"konveyor.konveyor-csharp","konveyor.konveyor-csharp-0.6.2-universal","97.22","?"
"redhat.mta-csharp","redhat.mta-csharp-8.1.3-universal","97.15","?"
"sapse.vsc-extension-mdk","sapse.vsc-extension-mdk-2.1.1-universal","96.81","?"
"sapse.mdk-editor","sapse.mdk-editor-2.1.0-universal","96.81","?"
"pa-andreas.luna-image-editor","pa-andreas.luna-image-editor-26.6.15-universal","96.77","?"
"browserstackcom.test-companion","browserstackcom.test-companion-1.18.6-universal","96.14","?"
"szlk.solopreneur-roadmap","szlk.solopreneur-roadmap-0.0.340-universal","94.08","?"
"neontractorinc.neontractor-ai","neontractorinc.neontractor-ai-10.1.5-universal","93.87","?"
"jigneshkotia.resuggestor","jigneshkotia.resuggestor-0.0.10-universal","92.15","?"
"marimo-team.vscode-marimo","marimo-team.vscode-marimo-0.13.5-win32-x64","90.63","?"
"ibm.zopeneditor","ibm.zopeneditor-6.6.0-universal","90.52","?"
"markwhen.markwhen","markwhen.markwhen-1.4.2","90.47","?"
"exerati.exerati-code-vscode-ide-companion","exerati.exerati-code-vscode-ide-companion-0.0.40-universal","90.37","?"
"lidge-jun.code-office","lidge-jun.code-office-3.7.49-universal","90.16","?"
"nocoly.hap-for-vscode","nocoly.hap-for-vscode-0.2.4-universal","89.71","?"
"modular-mojotools.vscode-mojo-nightly","modular-mojotools.vscode-mojo-nightly-2025.6.2705","89.24","?"
"mistralai.mistral-vibe-code","mistralai.mistral-vibe-code-1.13.0-win32-x64","89.15","?"
"jovyan-ai.jovyan","jovyan-ai.jovyan-1.24.3-universal","89","?"
"littlecareless.dish-ai-commit","littlecareless.dish-ai-commit-0.55.7-universal","88.99","?"
"i2flabs.aevum","i2flabs.aevum-1.7.0-universal","87.97","?"
"swarmify.swarm-ext","swarmify.swarm-ext-0.9.292-universal","87.67","?"
"vmware.vscode-spring-boot","vmware.vscode-spring-boot-2.3.2026071400-universal","87.18","?"
"tenstorrent.tt-vscode-toolkit","tenstorrent.tt-vscode-toolkit-0.1.17-universal","86.65","?"
"orangecattechpvtltd.syntx","orangecattechpvtltd.syntx-2.5.0-universal","86.55","?"
"waibee.waibee","waibee.waibee-0.2.3-universal","86.23","?"
"cybrosys-assista-ltd.cybrosys-assista","cybrosys-assista-ltd.cybrosys-assista-1.0.4-universal","85.78","?"
"omlet.omlet-vscode-extension","omlet.omlet-vscode-extension-1.1.7-win32-x64","85.22","?"
"spoorthi.cosmy-wasmy","spoorthi.cosmy-wasmy-2.5.0-universal","84.36","?"
"makehub.makehub","makehub.makehub-1.0.0-universal","83.85","?"
"wallabyjs.wallaby-vscode","wallabyjs.wallaby-vscode-1.0.498-universal","83.72","?"
"deepnote.vscode-deepnote","deepnote.vscode-deepnote-1.5.0-universal","83.49","?"
"samgiz.vscode-kanbn-boards","samgiz.vscode-kanbn-boards-0.14.1-universal","82.85","?"
"kombai.kombai","kombai.kombai-2.0.41-win32-x64","82","?"
"thundercompute.thunder-compute","thundercompute.thunder-compute-0.5.11-universal","81.94","?"
"bruin.bruin","bruin.bruin-0.82.3-universal","81.89","?"
"elumine.kotlin-jump","elumine.kotlin-jump-1.23.0-universal","81.29","?"
