"Extension","Folder","SizeMB","Level"
"profelis.dascript-plugin","profelis.dascript-plugin-1.3.6-universal","2.71","?"
"embedd-team.embedd-peripheral-viewer","embedd-team.embedd-peripheral-viewer-1.7.3-universal","2.71","?"
"microchip.mplab-core-da","microchip.mplab-core-da-1.10.0-universal","2.7","?"
"luohe.js-debug-for-luohe-react","luohe.js-debug-for-luohe-react-0.0.1-universal","2.7","?"
"codapt.codapt-extension","codapt.codapt-extension-0.0.52-universal","2.7","?"
"microchip.runcmake","microchip.runcmake-1.9.0-universal","2.69","?"
"yaprepo.reporelic","yaprepo.reporelic-1.1.0-universal","2.69","?"
"castle-engine-team.castle-engine","castle-engine-team.castle-engine-1.6.0-universal","2.69","?"
"msjsdiag.debugger-for-chrome","msjsdiag.debugger-for-chrome-4.12.6-universal","2.68","?"
"zcy-zero-moss-team.zero-moss-extension","zcy-zero-moss-team.zero-moss-extension-0.1.6-universal","2.66","?"
"maxwell.vscode-latte","maxwell.vscode-latte-1.0.31-universal","2.64","?"
"jlcodes.antigravity-cockpit","jlcodes.antigravity-cockpit-2.1.52-universal","2.64","?"
"lyuwenhan.mermaid-snap","lyuwenhan.mermaid-snap-1.0.21-universal","2.64","?"
"ktiays.aicursor","ktiays.aicursor-0.5.3-universal","2.64","?"
"sukhtumur.paami","sukhtumur.paami-3.2.0-universal","2.63","?"
"ran-codes.code-organizer","ran-codes.code-organizer-0.1.1-universal","2.63","?"
"cryptarchs.velora","cryptarchs.velora-1.1.0-universal","2.63","?"
"eliostruyf.spfx-snippets","eliostruyf.spfx-snippets-1.13.0-universal","2.62","?"
"webersonrodrigues.kiro-ecosystem-graph","webersonrodrigues.kiro-ecosystem-graph-0.3.4-universal","2.61","?"
"marcmassacapo.harness-dashboard-vscode","marcmassacapo.harness-dashboard-vscode-0.7.0-universal","2.6","?"
"jetmartin.apicurio","jetmartin.apicurio-0.1.0-universal","2.6","?"
"oaslananka.fovuxstudiokit","oaslananka.fovuxstudiokit-1.3.0-universal","2.58","?"
"ms-vscode.powershell-preview","ms-vscode.powershell-preview-2020.3.0-universal","2.58","?"
"godwinjoseph.advanced-json-studio","godwinjoseph.advanced-json-studio-1.0.5-universal","2.58","?"
"expo.vscode-expo-tools","expo.vscode-expo-tools-1.6.3-universal","2.57","?"
"karthikaradhya.consolewatch","karthikaradhya.consolewatch-0.1.0-universal","2.57","?"
"devark.devark-extension","devark.devark-extension-0.1.18-universal","2.57","?"
"crsx.icons-library","crsx.icons-library-1.0.1-universal","2.56","?"
"nandamyashwanth.go-debugger-ai","nandamyashwanth.go-debugger-ai-2.0.3-universal","2.56","?"
"mubashir-ali.bio-data-hub","mubashir-ali.bio-data-hub-1.5.0-universal","2.55","?"
"elixir-lsp.elixir-ls","elixir-lsp.elixir-ls-0.31.1-universal","2.54","?"
"sencercetinturk.chainforge","sencercetinturk.chainforge-1.4.1-universal","2.54","?"
"terrastruct.d2","terrastruct.d2-0.8.6-universal","2.53","?"
"kx.kdb","kx.kdb-1.18.1-universal","2.53","?"
"diemasmichiels.emulate","diemasmichiels.emulate-1.8.2-universal","2.52","?"
"drom.vcdrom","drom.vcdrom-0.6.0-universal","2.52","?"
"mrchetan.goto-laravel-components","mrchetan.goto-laravel-components-1.0.2-universal","2.5","?"
"openubmc.openubmc-skills-marketplace","openubmc.openubmc-skills-marketplace-1.1.8-universal","2.5","?"
"tahabasri.snippets","tahabasri.snippets-4.2.0-universal","2.49","?"
"web33.repoanalyzer","web33.repoanalyzer-0.5.4-universal","2.48","?"
"qcodex.qcodex","qcodex.qcodex-0.0.4-universal","2.48","?"
"truesparrow.sirji","truesparrow.sirji-0.0.31-universal","2.48","?"
"jonpena.console-warrior","jonpena.console-warrior-1.3.31-universal","2.47","?"
"dc-commits.aws-lens-event-driven","dc-commits.aws-lens-event-driven-0.6.0","2.47","?"
"filipstrand.gitbit","filipstrand.gitbit-0.4.4-universal","2.47","?"
"neoresearchinc.heyneo","neoresearchinc.heyneo-1.1.2-universal","2.47","?"
"ms-vscode.node-debug2","ms-vscode.node-debug2-1.43.0-universal","2.47","?"
"laurids.agent-skills-sh","laurids.agent-skills-sh-0.1.16-universal","2.46","?"
"streetsidesoftware.code-spell-checker-russian","streetsidesoftware.code-spell-checker-russian-2.2.4-universal","2.46","?"
"ms-toolsai.vscode-jupyter-powertoys","ms-toolsai.vscode-jupyter-powertoys-0.1.1-universal","2.46","?"
"deepx.deepv-code-vscode-companion","deepx.deepv-code-vscode-companion-1.0.195-universal","2.45","?"
"mschababerle.status-bar-param","mschababerle.status-bar-param-1.10.0-universal","2.43","?"
"meherub-hossain-yemon.codebuddy","meherub-hossain-yemon.codebuddy-0.0.2-universal","2.42","?"
"tasking-winidea.tasking-hexeditor","tasking-winidea.tasking-hexeditor-1.9.22-win32-x64","2.42","?"
"openimagedebugger.openimagedebugger-vscode","openimagedebugger.openimagedebugger-vscode-1.2.0-universal","2.42","?"
"vokality.emote","vokality.emote-0.2.3-universal","2.41","?"
"mantiqh.jsonlens","mantiqh.jsonlens-0.1.7","2.41","?"
"freerave.dotcommand","freerave.dotcommand-2.0.1-universal","2.4","?"
"xenriq.promptive-sentry-ide","xenriq.promptive-sentry-ide-2.0.2-universal","2.39","?"
"viper7882.mqlens","viper7882.mqlens-0.0.2-universal","2.39","?"
"charleshong3.autocomp-visualizer","charleshong3.autocomp-visualizer-0.2.10-universal","2.39","?"
"yusukeabe.gitinprogress","yusukeabe.gitinprogress-0.3.0-universal","2.38","?"
"nrentas.clauder","nrentas.clauder-0.1.17-universal","2.37","?"
"dewufe.du-i18n-2","dewufe.du-i18n-2-1.3.42-universal","2.37","?"
"joouis.agent-maestro","joouis.agent-maestro-2.9.0-universal","2.37","?"
"yoavbls.pretty-ts-errors","yoavbls.pretty-ts-errors-0.8.7-universal","2.37","?"
"lvboda.vscode-i18n-fast","lvboda.vscode-i18n-fast-1.0.0-universal","2.36","?"
"felipefontes.flutter-widget-preview","felipefontes.flutter-widget-preview-0.1.15-universal","2.36","?"
"mikesoft.vscode-grok-build-launcher","mikesoft.vscode-grok-build-launcher-0.1.7-universal","2.35","?"
"collabsuite.staff-engineer","collabsuite.staff-engineer-0.3.1-universal","2.34","?"
"ukaisi.inspect-ai","ukaisi.inspect-ai-0.9.14-universal","2.34","?"
"silkepilon.youchat","silkepilon.youchat-0.1.3-universal","2.33","?"
"gengjiawen.vscode-npm-dependency","gengjiawen.vscode-npm-dependency-1.2.2","2.32","?"
"jamestiotio.compstruct-vscode","jamestiotio.compstruct-vscode-0.2.11-universal","2.32","?"
"modiqo.rote","modiqo.rote-0.36.1-universal","2.32","?"
"jodacame.vsstats","jodacame.vsstats-1.3.2-universal","2.31","?"
"openmodelica.metamodelica-language-server","openmodelica.metamodelica-language-server-0.2.0-universal","2.3","?"
"kjokkenkoddinger.flutter-net-inspector","kjokkenkoddinger.flutter-net-inspector-0.1.4-universal","2.27","?"
"mikesoft.vscode-antigravity-cli-launcher","mikesoft.vscode-antigravity-cli-launcher-0.1.6-universal","2.27","?"
"dhimitriosduka.slurm-cluster-manager","dhimitriosduka.slurm-cluster-manager-1.5.0-universal","2.27","?"
"tlg.prophet-plus","tlg.prophet-plus-2.0.4-universal","2.27","?"
"webfreak.debug","webfreak.debug-0.27.0-universal","2.26","?"
"odangoo.otak-committer","odangoo.otak-committer-2.16.11-universal","2.26","?"
"ibm.vscode-ibmi-bob","ibm.vscode-ibmi-bob-1.0.0-universal","2.26","?"
"seyyedkhandon.firacode","seyyedkhandon.firacode-2.2.2-universal","2.25","?"
"karthikaradhya.vscode-scrcpy","karthikaradhya.vscode-scrcpy-1.1.1-universal","2.24","?"
"dhanush-008.ai-readme-markdown-generator","dhanush-008.ai-readme-markdown-generator-1.0.5-universal","2.23","?"
"vscode-infra.image-viewer","vscode-infra.image-viewer-2.0.4-universal","2.23","?"
"nikolairadke.aiduino","nikolairadke.aiduino-2.7.0-universal","2.23","?"
"joshmann.aspire-vscode","joshmann.aspire-vscode-1.0.8-patch-universal","2.22","?"
"tuld01061.md-live-server","tuld01061.md-live-server-0.2.2-universal","2.22","?"
"devsense-team.devsense","devsense-team.devsense-1.0.64-universal","2.21","?"
"magicstack.magicpython","magicstack.magicpython-1.1.1-universal","2.21","?"
"qoretechnologies.qore-vscode","qoretechnologies.qore-vscode-0.7.4-universal","2.21","?"
"forward2k.phpnexus","forward2k.phpnexus-1.0.1-universal","2.2","?"
"bastndev.compare-code","bastndev.compare-code-0.2.9-universal","2.2","?"
"safeguard-sh-inc.safeguardshideextension","safeguard-sh-inc.safeguardshideextension-5.0.1-universal","2.19","?"
"tikou-web.gcp-switch-config","tikou-web.gcp-switch-config-2.2.7-universal","2.19","?"
"x3ric.nytrix","x3ric.nytrix-0.2.0-universal","2.19","?"
"hevolve-ai.trueflow","hevolve-ai.trueflow-0.1.620-universal","2.18","?"
"jagreehal.autotel-vscode","jagreehal.autotel-vscode-1.0.0-universal","2.18","?"
"causly-youraibugdetective.causly","causly-youraibugdetective.causly-0.1.8-universal","2.16","?"
"eclipse-cdt.svd-viewer","eclipse-cdt.svd-viewer-1.3.0-universal","2.16","?"
"nextdev.nextdev","nextdev.nextdev-3.0.12-universal","2.16","?"
"planet57.vscode-beads","planet57.vscode-beads-0.13.0-universal","2.16","?"
"ptsd.liubai-vscode-extension","ptsd.liubai-vscode-extension-0.31.1-universal","2.15","?"
"microchip.mplabx-importer","microchip.mplabx-importer-1.9.0-universal","2.15","?"
"cortex-debug.svd-viewer","cortex-debug.svd-viewer-1.2.3-universal","2.15","?"
"mshr-h.veriloghdl","mshr-h.veriloghdl-1.29.0-universal","2.15","?"
"weichuandong.weread-vscode","weichuandong.weread-vscode-3.1.1-universal","2.15","?"
"elishevkirill.bsl-analyzer-lsp","elishevkirill.bsl-analyzer-lsp-0.1.12-universal","2.15","?"
"pydemia.demian","pydemia.demian-1.2.1-universal","2.15","?"
"singularitti.vscode-julia-formatter","singularitti.vscode-julia-formatter-0.6.3-universal","2.15","?"
"fchatin.vscode-pi-agent","fchatin.vscode-pi-agent-0.2.41-universal","2.14","?"
"localstack.localstack","localstack.localstack-1.10.0-universal","2.14","?"
"sourabhr10122002.npm-manager-v2","sourabhr10122002.npm-manager-v2-0.1.3-universal","2.14","?"
"christopherthomas.vsqlite-explorer","christopherthomas.vsqlite-explorer-0.3.0-win32-x64","2.12","?"
"visual-codecraft.codecraft-cursor-extension","visual-codecraft.codecraft-cursor-extension-1.0.3-universal","2.1","?"
"microchip.mplab-extensions-platforms","microchip.mplab-extensions-platforms-1.8.0-universal","2.08","?"
"gamag.debugssy","gamag.debugssy-1.6.1-universal","2.07","?"
"pacoaldev.opencode-mcp-vscode","pacoaldev.opencode-mcp-vscode-1.0.41-universal","2.06","?"
"kevinrose.vsc-python-indent","kevinrose.vsc-python-indent-1.21.0-universal","2.06","?"
"ethan-reesor.exp-vscode-go","ethan-reesor.exp-vscode-go-0.3.0-universal","2.06","?"
"ms-vscode.makefile-tools","ms-vscode.makefile-tools-0.12.17-universal","2.06","?"
"swalkerdev.cloudflare-kv-explorer","swalkerdev.cloudflare-kv-explorer-1.0.9-universal","2.05","?"
"mr-burhanuddin.watcher","mr-burhanuddin.watcher-0.1.6-universal","2.03","?"
"selfagency.mistral-models-vscode","selfagency.mistral-models-vscode-1.2.0-universal","2.03","?"
"supabase.postgrestools","supabase.postgrestools-1.4.0-universal","2.02","?"
"ecuabyte.cortex-vscode","ecuabyte.cortex-vscode-0.8.2-universal","2.02","?"
"fermeridamagni.arduino-unified","fermeridamagni.arduino-unified-1.1.1-universal","2.02","?"
"vdende.abl-datadigger-launcher","vdende.abl-datadigger-launcher-1.1.0-universal","2.02","?"
"coderabbit.coderabbit-vscode","coderabbit.coderabbit-vscode-0.21.0-universal","2.02","?"
"jackfioru92.mcp-aruba-email","jackfioru92.mcp-aruba-email-0.2.2-universal","2.02","?"
"krishna-kudari.android-studio-lite","krishna-kudari.android-studio-lite-0.0.10-universal","2.02","?"
"vibe-planner.vibe-code-planner","vibe-planner.vibe-code-planner-1.1.0-universal","2.01","?"
"imagene-ai.fast-parquet-viewer","imagene-ai.fast-parquet-viewer-0.4.0-universal","2.01","?"
"hanwang.android-adb-wlan","hanwang.android-adb-wlan-0.0.13-universal","2.01","?"
"qxlabai.text2code","qxlabai.text2code-0.0.7-universal","2","?"
"konveyor.konveyor-javascript","konveyor.konveyor-javascript-0.6.2-universal","2","?"
"kognyt.kognyt-astra","kognyt.kognyt-astra-0.1.56-universal","1.98","?"
"ntluong95.positron-data-science-pack","ntluong95.positron-data-science-pack-0.0.6-universal","1.98","?"
"gethnet.litellm-connector-copilot","gethnet.litellm-connector-copilot-1.6.3-universal","1.98","?"
"selfagency.opilot","selfagency.opilot-1.8.2-universal","1.98","?"
"connorontheweb.express-map","connorontheweb.express-map-1.0.11-universal","1.95","?"
"weiskopfsodefa.vercel-vscode-by-sodefa","weiskopfsodefa.vercel-vscode-by-sodefa-2.0.8-universal","1.95","?"
"nishikanta12.live-server-lite","nishikanta12.live-server-lite-1.3.1-universal","1.95","?"
"iganbold.yoyo-ai-versioning","iganbold.yoyo-ai-versioning-0.1.43-universal","1.95","?"
"google.gemini-cli-vscode-ide-companion","google.gemini-cli-vscode-ide-companion-0.20.0-universal","1.94","?"
"jitendragrl.copilot-autocommit","jitendragrl.copilot-autocommit-3.0.0-universal","1.94","?"
"google-workspace.google-workspace-developer-tools","google-workspace.google-workspace-developer-tools-0.6.2-universal","1.94","?"
"freerave.dotreadme","freerave.dotreadme-1.2.0-universal","1.94","?"
"wanderd.wanderd","wanderd.wanderd-0.1.17-universal","1.93","?"
"mehaksandhudev.live-readme-studio","mehaksandhudev.live-readme-studio-1.1.2-universal","1.93","?"
"chanhx.crabviz","chanhx.crabviz-0.5.0-universal","1.92","?"
"eclipse-cdt.serial-monitor","eclipse-cdt.serial-monitor-2.0.0-universal","1.91","?"
"corequest.corequest-debugger","corequest.corequest-debugger-4.0.0-universal","1.9","?"
"ntluong95.positron-python-package-manager","ntluong95.positron-python-package-manager-0.2.1-universal","1.89","?"
"gabrielbaiano.ai-commit","gabrielbaiano.ai-commit-0.1.0-universal","1.89","?"
"marcodiniz.ag-local-bridge","marcodiniz.ag-local-bridge-1.1.79-universal","1.88","?"
"moonolgerd.copilot-specs","moonolgerd.copilot-specs-0.1.12-universal","1.88","?"
"sunweiyue.msgpack-audio-viewer","sunweiyue.msgpack-audio-viewer-1.1.1-universal","1.88","?"
"supermodel.supermodel","supermodel.supermodel-0.2.0-universal","1.88","?"
"nimbletron.pi-code-gui","nimbletron.pi-code-gui-0.0.55-universal","1.86","?"
"linuxsuren.api-testing","linuxsuren.api-testing-0.0.18-universal","1.85","?"
"eranpeleg1.codepilot-vscode-nexxen","eranpeleg1.codepilot-vscode-nexxen-0.1.16-universal","1.85","?"
"hueanmy.aidlc","hueanmy.aidlc-2.4.0-universal","1.85","?"
"valcioffi.ml-language-support","valcioffi.ml-language-support-1.1.1-universal","1.84","?"
"onlineeric.speedy-git-ext","onlineeric.speedy-git-ext-5.5.1-universal","1.84","?"
"ntluong95.positron-r-wizard","ntluong95.positron-r-wizard-0.1.0-universal","1.84","?"
"hamster.task-master-hamster","hamster.task-master-hamster-0.23.0-universal","1.84","?"
"mcu-debug.rtos-views","mcu-debug.rtos-views-0.0.16-universal","1.84","?"
"nietao.smart-commit-copilot","nietao.smart-commit-copilot-0.0.66-universal","1.84","?"
"techfetch-dev.project-translator","techfetch-dev.project-translator-0.21.1-universal","1.83","?"
"mcanouil.quarto-wizard","mcanouil.quarto-wizard-3.1.2-universal","1.82","?"
"tracepilot.codeplay","tracepilot.codeplay-0.1.4-universal","1.82","?"
"softwaredotcom.swdc-vscode","softwaredotcom.swdc-vscode-2.8.18-universal","1.82","?"
"killowatts.live-jinja-renderer","killowatts.live-jinja-renderer-1.12.0-universal","1.82","?"
"dant2021.error-context-collector","dant2021.error-context-collector-0.1.7-universal","1.82","?"
"marcosklender.console-tree","marcosklender.console-tree-1.0.2-universal","1.81","?"
"jupiter-ai0211.repolens-mcp","jupiter-ai0211.repolens-mcp-0.2.1-universal","1.81","?"
"pkief.material-icon-theme","pkief.material-icon-theme-5.36.1-universal","1.81","?"
"predictabilityatscale.issuetriage","predictabilityatscale.issuetriage-0.1.3-universal","1.8","?"
"cosmosjeon.nexus-acp","cosmosjeon.nexus-acp-0.1.8-universal","1.8","?"
"eliostruyf.vscode-dochub","eliostruyf.vscode-dochub-0.0.4-universal","1.79","?"
"ruyisdk.ruyisdk-vscode-extension","ruyisdk.ruyisdk-vscode-extension-0.1.5-universal","1.79","?"
"rum-error-tracker.rum-error-tracker","rum-error-tracker.rum-error-tracker-0.0.8-universal","1.78","?"
"liteclienthq.liteclient","liteclienthq.liteclient-0.19.4-universal","1.78","?"
"duclvz.acp-pro","duclvz.acp-pro-0.2.3-universal","1.77","?"
"neuroskill.neuroskill","neuroskill.neuroskill-0.0.1-universal","1.77","?"
"moego0.local-tab-agent","moego0.local-tab-agent-1.1.0-universal","1.76","?"
"kerryang56.antigravity-skill-to-workflow","kerryang56.antigravity-skill-to-workflow-0.5.0-universal","1.76","?"
"konghq.vscode-konnect-dev-portal-toolkit","konghq.vscode-konnect-dev-portal-toolkit-1.10.2-universal","1.75","?"
"human-gr8rthan-ai.coding-metrics","human-gr8rthan-ai.coding-metrics-0.5.3-universal","1.74","?"
"stefan-h-at.source-engine-support","stefan-h-at.source-engine-support-1.4.0-universal","1.74","?"
"kylemicallefbonnici.dts-lsp","kylemicallefbonnici.dts-lsp-0.10.3-universal","1.74","?"
"denoland.vscode-deno","denoland.vscode-deno-3.53.0-universal","1.73","?"
"tanishqkancharla.opencode-vscode","tanishqkancharla.opencode-vscode-0.4.4-universal","1.73","?"
"recca0120.vscode-phpunit","recca0120.vscode-phpunit-3.9.40-universal","1.72","?"
"srivats.doclense","srivats.doclense-0.1.4-universal","1.72","?"
"ms-playwright.playwright","ms-playwright.playwright-1.1.19-universal","1.72","?"
"themeselection.shadcn-studio-vscode-extension","themeselection.shadcn-studio-vscode-extension-1.1.0-universal","1.72","?"
"visualagents.visualagents","visualagents.visualagents-0.5.2-universal","1.72","?"
"rcg-dev.remote-config-gen","rcg-dev.remote-config-gen-1.1.1-universal","1.7","?"
"kisstkondoros.vscode-gutter-preview","kisstkondoros.vscode-gutter-preview-0.32.2-universal","1.7","?"
"diegomenares.stata-viewer","diegomenares.stata-viewer-0.2.1-universal","1.69","?"
"tyriar.luna-paint","tyriar.luna-paint-0.18.0-universal","1.69","?"
"codesherlockai.codesherlock","codesherlockai.codesherlock-0.0.31-universal","1.69","?"
"maxchang.vscode-markmap-universe","maxchang.vscode-markmap-universe-0.0.10-universal","1.69","?"
"selfagency.beans-vscode","selfagency.beans-vscode-1.7.2-universal","1.69","?"
"proofmatcher.ag-autoaccept","proofmatcher.ag-autoaccept-1.0.28-universal","1.69","?"
"dadop.git-commit-generator","dadop.git-commit-generator-0.1.1-universal","1.69","?"
"satoqz.yet-another-discord-presence","satoqz.yet-another-discord-presence-1.5.4-universal","1.68","?"
"vsls-contrib.codetour","vsls-contrib.codetour-0.0.59-universal","1.68","?"
"xirider.livecode","xirider.livecode-1.3.10-universal","1.68","?"
"quijotevitruvio.skills-berriondos-pues","quijotevitruvio.skills-berriondos-pues-2.8.0-universal","1.67","?"
"codepulse.codepulse","codepulse.codepulse-0.5.0-universal","1.67","?"
"franneck94.c-cpp-runner","franneck94.c-cpp-runner-9.4.7-universal","1.66","?"
"inttype-dev.antigravity-quota-simple","inttype-dev.antigravity-quota-simple-0.1.1-universal","1.66","?"
"souravrax.pglens","souravrax.pglens-0.2.1-universal","1.66","?"
"salesforce.salesforcedx-metadata-visualizer-vscode","salesforce.salesforcedx-metadata-visualizer-vscode-1.1.0-universal","1.65","?"
"sridharmocherla.bazel-kotlin-vscode-extension","sridharmocherla.bazel-kotlin-vscode-extension-0.4.2-universal","1.65","?"
"epiccraft.epiccraft-agile-story-generator","epiccraft.epiccraft-agile-story-generator-0.4.0-universal","1.64","?"
"divisionseven.unified-kanban","divisionseven.unified-kanban-0.7.3-universal","1.64","?"
"intersystems-community.vscode-objectscript","intersystems-community.vscode-objectscript-3.8.2-universal","1.64","?"
"hugoblox.hugo","hugoblox.hugo-0.1.2-universal","1.64","?"
"kaushiksaravanan.auto-accept-antigravity","kaushiksaravanan.auto-accept-antigravity-0.7.7-universal","1.63","?"
"salesforce.salesforcedx-vscode-apex-log","salesforce.salesforcedx-vscode-apex-log-67.5.0-universal","1.63","?"
"nishithreddyp.aevi","nishithreddyp.aevi-0.0.5-universal","1.63","?"
"geequlim.godot-tools","geequlim.godot-tools-2.7.1-universal","1.62","?"
"kylinideteam.cmake-intellisence","kylinideteam.cmake-intellisence-0.8.0-universal","1.61","?"
"codepathfinder.secureflow","codepathfinder.secureflow-0.0.19-universal","1.61","?"
"crescent-stdio.wave-roll-solo","crescent-stdio.wave-roll-solo-0.0.9-universal","1.61","?"
"lucasalvcoutinho.blacksmith","lucasalvcoutinho.blacksmith-0.2.1-universal","1.6","?"
"vitest.explorer","vitest.explorer-1.50.7-universal","1.59","?"
"maheshkok.claude-code-gui","maheshkok.claude-code-gui-1.5.12-universal","1.58","?"
"freeocd.freeocd-extension","freeocd.freeocd-extension-0.0.4-win32-x64","1.58","?"
"keyshout.sqlite-db-viewer","keyshout.sqlite-db-viewer-0.1.6-universal","1.57","?"
"moow77.replace-sql-parameters","moow77.replace-sql-parameters-1.0.2-universal","1.57","?"
"munatrust.munatrust","munatrust.munatrust-0.1.56-universal","1.57","?"
"microsoft-aspire.aspire-vscode","microsoft-aspire.aspire-vscode-1.0.2-universal","1.56","?"
"yasirarafat.opencode-ai-chat","yasirarafat.opencode-ai-chat-0.3.13-universal","1.56","?"
"openubmc.bmcstudio-log-reviewer","openubmc.bmcstudio-log-reviewer-0.0.2-universal","1.56","?"
"xlab-steampunk.steampunk-spotter","xlab-steampunk.steampunk-spotter-1.12.0-universal","1.55","?"
"whyisee.leap-home","whyisee.leap-home-0.4.0-universal","1.55","?"
"supsugam.react-native-text-watcher","supsugam.react-native-text-watcher-1.0.3-universal","1.55","?"
"wheelbarrel00.claude-code-usage-tracker-wb00","wheelbarrel00.claude-code-usage-tracker-wb00-1.4.0-universal","1.54","?"
"workflowconfig.claude-workflow-builder","workflowconfig.claude-workflow-builder-1.27.0-universal","1.53","?"
"shenyingjun5.openclaw","shenyingjun5.openclaw-0.2.24-universal","1.53","?"
"orta.vscode-jest","orta.vscode-jest-6.4.4-universal","1.53","?"
"cloudinary.cloudinary","cloudinary.cloudinary-1.0.1-universal","1.5","?"
"led.bigquery-browser","led.bigquery-browser-0.2.0-universal","1.5","?"
"jaseci-labs.jaclang-extension","jaseci-labs.jaclang-extension-2026.6.30-universal","1.49","?"
"yap.reporelic","yap.reporelic-0.0.1-universal","1.48","?"
"pesosz.antigravity-auto-accept","pesosz.antigravity-auto-accept-1.2.0-universal","1.47","?"
"freerave.dotshare","freerave.dotshare-3.4.1-universal","1.46","?"
"pillubhai.uncodedb","pillubhai.uncodedb-1.1.4-universal","1.46","?"
"vscjava.vscode-spring-boot-dashboard","vscjava.vscode-spring-boot-dashboard-0.14.0-universal","1.46","?"
"harshitbareja.codebase-explorer","harshitbareja.codebase-explorer-0.2.0-universal","1.45","?"
"uai-systems.uai-copilot-cluster-intelligence","uai-systems.uai-copilot-cluster-intelligence-2.9.1-universal","1.45","?"
"tpstech.diff-commit","tpstech.diff-commit-0.4.0-universal","1.44","?"
"schemax.schemax-vscode","schemax.schemax-vscode-0.2.11-universal","1.44","?"
"mhdstk.virtual-aquarium","mhdstk.virtual-aquarium-0.1.3-universal","1.44","?"
"sprnt.spire","sprnt.spire-0.3.2-universal","1.44","?"
"mcrespo.veriv","mcrespo.veriv-1.1.0-universal","1.43","?"
"jakepark.sidecar","jakepark.sidecar-0.0.47-universal","1.42","?"
"vallarasukanthasamy.auto-console-log-by-vallarasu-kanthasamy","vallarasukanthasamy.auto-console-log-by-vallarasu-kanthasamy-0.8.1-universal","1.42","?"
"rechinformatica.rech-cobol-debugger","rechinformatica.rech-cobol-debugger-1.0.39-universal","1.42","?"
"slashmd.slashmd","slashmd.slashmd-0.2.4-universal","1.42","?"
"saxionsd.wiretext","saxionsd.wiretext-1.2.5-universal","1.41","?"
"effectful-tech.effect-vscode","effectful-tech.effect-vscode-0.9.0-universal","1.41","?"
"schultek.jaspr-code","schultek.jaspr-code-0.4.0-universal","1.41","?"
"syamrajms.ai-error-checklist","syamrajms.ai-error-checklist-0.0.7-universal","1.41","?"
"kylinideteam.kylin-debug","kylinideteam.kylin-debug-0.3.0-universal","1.4","?"
"stirner606.auto-accept-ego","stirner606.auto-accept-ego-1.4.6-universal","1.4","?"
"zhuangtongfa.material-theme","zhuangtongfa.material-theme-3.19.0-universal","1.4","?"
"gitscrum-vscode.gitscrum-vscode","gitscrum-vscode.gitscrum-vscode-1.0.9-universal","1.4","?"
"iair0007.cursor-usage-dashboard","iair0007.cursor-usage-dashboard-0.4.4-universal","1.39","?"
"ghost-dev.ghost-terminal-assistant","ghost-dev.ghost-terminal-assistant-0.1.4-universal","1.39","?"
"eytankrief.data-snapshot","eytankrief.data-snapshot-0.0.8-universal","1.39","?"
"srimukh.slowbug","srimukh.slowbug-1.0.7-universal","1.39","?"
"heyshinde.devflow-ai","heyshinde.devflow-ai-0.0.2-universal","1.38","?"
"zdt1013.ai-git-commiter","zdt1013.ai-git-commiter-1.0.56-universal","1.37","?"
"dedale-dev.ariana","dedale-dev.ariana-0.12.0-universal","1.37","?"
"halcyontechltd.vscode-db2i","halcyontechltd.vscode-db2i-2.0.1-universal","1.37","?"
"llvm-vs-code-extensions.vscode-clangd","llvm-vs-code-extensions.vscode-clangd-0.6.0-universal","1.37","?"
"mathiaskes.latex-math-preview-jupyter","mathiaskes.latex-math-preview-jupyter-1.0.1-universal","1.36","?"
"nvidia.bluebazel","nvidia.bluebazel-1.0.7-universal","1.34","?"
"the0807.uv-toolkit","the0807.uv-toolkit-0.1.11-universal","1.33","?"
"iml1s.antigravity-plus","iml1s.antigravity-plus-0.0.37","1.33","?"
"omercnet.vscode-acp","omercnet.vscode-acp-1.4.0-universal","1.33","?"
"exasol.exasol-vscode","exasol.exasol-vscode-1.6.0-universal","1.33","?"
"shipstatic.shipstatic","shipstatic.shipstatic-0.2.10-universal","1.32","?"
"maiwulanjiangmaiming.matrixspy","maiwulanjiangmaiming.matrixspy-1.5.12-universal","1.32","?"
"growthjack.claude-code-usage","growthjack.claude-code-usage-2.2.0-universal","1.32","?"
"nguyenngoclong.cypress-cucumber-step-definition-generator","nguyenngoclong.cypress-cucumber-step-definition-generator-2.2.24-universal","1.32","?"
"kylinideteam.historydebug","kylinideteam.historydebug-0.1.9-universal","1.31","?"
"priyankark.codeair-app","priyankark.codeair-app-0.0.10-universal","1.31","?"
"saifyxpro.openui-vscode-extension","saifyxpro.openui-vscode-extension-0.0.1-universal","1.3","?"
"gobernai.dotagents","gobernai.dotagents-0.8.4-universal","1.3","?"
"lirobi.phone-preview","lirobi.phone-preview-3.1.9-universal","1.29","?"
"kaiye.ailens","kaiye.ailens-1.1.5-universal","1.28","?"
"smaglio81.agent-organizer","smaglio81.agent-organizer-0.3.5-universal","1.28","?"
"gabrielpondc.helioncoder-vscode","gabrielpondc.helioncoder-vscode-0.5.2-universal","1.27","?"
"codetypess.xlsx-diff","codetypess.xlsx-diff-1.6.2-universal","1.26","?"
"selemondev.vscode-preview-docs","selemondev.vscode-preview-docs-0.1.17-universal","1.26","?"
